ItemIndex,Item,Category,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,CH1,CH2,CH3,CH4,CH5,CH6,EM1,EM2,EM3,EM4,EM5,EM6,FC1
78,1STFCI15,FCI,22,22,22,22,22,22,22,22,,,,,,,,,,,,,15
79,1STFCI16,FCI,23,23,23,23,23,23,23,23,,,,,,,,,,,,,16
80,1STFCI17,FCI,24,24,24,24,24,24,24,24,,,,,,,,,,,,,17
81,1STFCI18,FCI,25,25,25,25,25,25,25,25,,,,,,,,,,,,,18
82,1STFCI19,FCI,26,26,26,26,26,26,26,26,,,,,,,,,,,,,19
83,1STFCI20,FCI,27,27,27,27,27,27,27,27,,,,,,,,,,,,,20
84,1STFCI21,FCI,28,28,28,28,28,28,28,28,,,,,,,,,,,,,21
85,1STFCI22,FCI,29,29,29,29,29,29,29,29,,,,,,,,,,,,,22
86,1STFCI23,FCI,30,30,30,30,30,30,30,30,,,,,,,,,,,,,23
87,1STFCI24,FCI,31,31,31,31,31,31,31,31,,,,,,,,,,,,,24
88,1STFCI25,FCI,32,32,32,32,32,32,32,32,,,,,,,,,,,,,25
89,1STFCI26,FCI,33,33,33,33,33,33,33,33,,,,,,,,,,,,,26
90,1STFCI27,FCI,34,34,34,34,34,34,34,34,,,,,,,,,,,,,27
91,1STFCI28,FCI,35,35,35,35,35,35,35,35,,,,,,,,,,,,,28
92,1STFCI29,FCI,36,36,36,36,36,36,36,36,,,,,,,,,,,,,29
93,1STFCI30,FCI,37,37,37,37,37,37,37,37,,,,,,,,,,,,,30
94,CCI1,CCI,,,,,,,,,8,8,8,8,8,8,,,,,,,
95,CCI2,CCI,,,,,,,,,9,9,9,9,9,9,,,,,,,
96,CCI3,CCI,,,,,,,,,10,10,10,10,10,10,,,,,,,
97,CCI4,CCI,,,,,,,,,11,11,11,11,11,11,,,,,,,
98,CCI5,CCI,,,,,,,,,12,12,12,12,12,12,,,,,,,
99,CCI6,CCI,,,,,,,,,13,13,13,13,13,13,,,,,,,
100,CCI7,CCI,,,,,,,,,14,14,14,14,14,14,,,,,,,
101,CCI8,CCI,,,,,,,,,15,15,15,15,15,15,,,,,,,
102,CCI9,CCI,,,,,,,,,16,16,16,16,16,16,,,,,,,
103,CCI10,CCI,,,,,,,,,17,17,17,17,17,17,,,,,,,
104,CCI11,CCI,,,,,,,,,18,18,18,18,18,18,,,,,,,
105,CCI12,CCI,,,,,,,,,19,19,19,19,19,19,,,,,,,
106,CCI13,CCI,,,,,,,,,20,20,20,20,20,20,,,,,,,
107,CCI14,CCI,,,,,,,,,21,21,21,21,21,21,,,,,,,
108,CCI15,CCI,,,,,,,,,22,22,22,22,22,22,,,,,,,
109,CCI16,CCI,,,,,,,,,23,23,23,23,23,23,,,,,,,
110,CCI17,CCI,,,,,,,,,24,24,24,24,24,24,,,,,,,
111,CCI18,CCI,,,,,,,,,25,25,25,25,25,25,,,,,,,
112,CCI19,CCI,,,,,,,,,26,26,26,26,26,26,,,,,,,
113,CCI20,CCI,,,,,,,,,27,27,27,27,27,27,,,,,,,
114,CCI21,CCI,,,,,,,,,28,28,28,28,28,28,,,,,,,
115,CCI22,CCI,,,,,,,,,29,29,29,29,29,29,,,,,,,
116,ACS1,ACS,,,,,,,,,30,30,30,30,30,30,,,,,,,
117,ACS2,ACS,,,,,,,,,31,31,31,31,31,31,,,,,,,
118,ACS3,ACS,,,,,,,,,32,32,32,32,32,32,,,,,,,
119,ACS4,ACS,,,,,,,,,33,33,33,33,33,33,,,,,,,
120,ACS5,ACS,,,,,,,,,34,34,34,34,34,34,,,,,,,
121,ACS6,ACS,,,,,,,,,35,35,35,35,35,35,,,,,,,
122,ACS7,ACS,,,,,,,,,36,36,36,36,36,36,,,,,,,
123,ACS8,ACS,,,,,,,,,37,37,37,37,37,37,,,,,,,
124,MBL1,MBL,38,38,38,38,38,38,38,38,,,,,,,,,,,,,
125,MBL2,MBL,39,39,39,39,39,39,39,39,,,,,,,,,,,,,
126,MBL3,MBL,40,40,40,40,40,40,40,40,,,,,,,,,,,,,
127,MBL4,MBL,41,41,41,41,41,41,41,41,,,,,,,,,,,,,
128,MBL5,MBL,42,42,42,42,42,42,42,42,,,,,,,,,,,,,
129,MBL6,MBL,43,43,43,43,43,43,43,43,,,,,,,,,,,,,
